               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.075858,            0.050365,                   0,             0.31636,                 0.6,             0.37044,             0.14163,            0.024633,            0.011141,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.061259,            0.039933,                   0,             0.31636,                 0.6,             0.37044,             0.14163,            0.024633,            0.011141,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.072102,            0.039844,                   0,             0.31636,                 0.6,             0.37044,             0.14163,            0.024633,            0.011141,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.068955,            0.051618,                   0,             0.31636,                 0.6,             0.37044,             0.14163,            0.024633,            0.011141,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.065757,            0.042577,                   0,             0.49367,             0.58734,             0.37167,             0.16155,            0.024877,            0.010817,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.068621,             0.03869,                   0,             0.49367,             0.58734,             0.37167,             0.16155,            0.024877,            0.010817,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.077364,            0.040298,                   0,             0.49367,             0.58734,             0.37167,             0.16155,            0.024877,            0.010817,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.086119,            0.059776,                   0,              0.2694,                 0.6,             0.30427,              0.1365,            0.023627,            0.010597,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.073973,            0.044436,                   0,              0.2694,                 0.6,             0.30427,              0.1365,            0.023627,            0.010597,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.080384,            0.047949,                   0,              0.2694,                 0.6,             0.30427,              0.1365,            0.023627,            0.010597,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.063121,            0.059361,                   0,             0.46332,                 0.6,              0.4201,             0.17969,            0.021447,            0.010398,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.072091,            0.049783,                   0,             0.46332,                 0.6,              0.4201,             0.17969,            0.021447,            0.010398,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.070406,            0.044676,                   0,             0.46332,                 0.6,              0.4201,             0.17969,            0.021447,            0.010398,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.072154,            0.044735,                   0,             0.49007,                 0.4,             0.42937,             0.18119,            0.022883,            0.010293,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.068245,            0.041141,                   0,             0.49007,                 0.4,             0.42937,             0.18119,            0.022883,            0.010293,                   0,             0.00142,             0.00142,             0.00142
                  54,             0.06664,            0.044214,                   0,             0.49007,                 0.4,             0.42937,             0.18119,            0.022883,            0.010293,                   0,            0.001255,            0.001255,            0.001255
                  55,             0.07407,            0.039922,                   0,             0.45349,                 0.6,             0.46203,             0.20415,            0.021528,              0.0103,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.081677,             0.04633,                   0,             0.45349,                 0.6,             0.46203,             0.20415,            0.021528,              0.0103,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.062204,            0.034448,                   0,             0.45349,                 0.6,             0.46203,             0.20415,            0.021528,              0.0103,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.077508,            0.052739,                   0,             0.45349,                 0.6,             0.46203,             0.20415,            0.021528,              0.0103,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.068297,            0.045725,                   0,             0.41089,                 0.6,             0.48218,             0.22923,            0.021569,            0.010389,                   0,             0.00043,             0.00043,             0.00043
